session,subj,trialNr,phrase_item,adj,noun,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train1,picture_file_train1,phrase_train2,picture_file_train2,change csv,picture_file_train3,phrase_train4,picture_file_train4,phrase_train5,picture_file_train5,phrase_train6,picture_file_train6
Train1,S01,55,Krone-klein,Krone,klein,36,LFP,SP,ncblock,etc,Krone-alt,krone_alt.png,Krone-gross,krone_gross.png,Krone-gruen,krone_gruen.png,Krone-rot,krone_rot.png,Krone-schwarz,krone_schwarz.png,Krone-weiss,krone_weiss.png
Train1,S01,56,Tuer-neu,Tuer,neu,57,HFP,SN,ncblock,building,Tuer-alt,tuer_alt.png,Tuer-gross,tuer_gross.png,Tuer-gruen,tuer_gruen.png,Tuer-klein,tuer_klein.png,Turm-gross,turm_gross.png,Turm-gruen,turm_gruen.png
Train1,S01,57,Zwiebel-neu,Zwiebel,neu,66,LFP,SN,ncblock,vegetable,Zwiebel-alt,zwiebel_alt.png,Zwiebel-gross,zwiebel_gross.png,Zwiebel-gruen,zwiebel_gruen.png,Zwiebel-klein,zwiebel_klein.png,Zwiebel-schwarz,zwiebel_schwarz.png,Zwiebel-weiss,zwiebel_weiss.png
Train1,S01,58,Tasse-neu,Tasse,neu,52,LFP,SN,ncblock,tool,Tasse-alt,tasse_alt.png,Tasse-gruen,tasse_gruen.png,Tasse-klein,tasse_klein.png,Tasse-rot,tasse_rot.png,Tasse-schwarz,tasse_schwarz.png,Tasse-weiss,tasse_weiss.png
Train1,S01,59,Rose-neu,Rose,neu,48,LFP,SP,ncblock,nature,Rose-alt,rose_alt.png,Rose-gross,rose_gross.png,Rose-gruen,rose_gruen.png,Rose-klein,rose_klein.png,Rose-rot,rose_rot.png,Rose-schwarz,rose_schwarz.png
Train1,S01,60,Zelt-klein,Zelt,klein,63,HFP,SP,ncblock,building,Zelt-gross,zelt_gross.png,Zelt-gruen,zelt_gruen.png,Zelt-neu,zelt_neu.png,Zelt-rot,zelt_rot.png,Zelt-schwarz,zelt_schwarz.png,Zelt-weiss,zelt_weiss.png
Train1,S01,61,Paket-gross,Paket,gross,42,HFP,SN,ncblock,etc,Paket-gruen,paket_gruen.png,Paket-klein,paket_klein.png,Paket-neu,paket_neu.png,Paket-rot,paket_rot.png,Paket-schwarz,paket_schwarz.png,Paket-weiss,paket_weiss.png
Train1,S01,62,Teppich-klein,Teppich,klein,53,LFP,SN,ncblock,furniture,Teppich-alt,teppich_alt.png,Teppich-gross,teppich_gross.png,Teppich-gruen,teppich_gruen.png,Teppich-neu,teppich_neu.png,Teppich-schwarz,teppich_schwarz.png,Teppich-weiss,teppich_weiss.png
Train1,S01,63,Pfeil-gross,Pfeil,gross,44,LFP,SN,ncblock,etc,Pfeil-alt,pfeil_alt.png,Pfeil-klein,pfeil_klein.png,Pfeil-neu,pfeil_neu.png,Pfeil-rot,pfeil_rot.png,Pfeil-schwarz,pfeil_schwarz.png,Pfeil-weiss,pfeil_weiss.png
Train1,S01,64,Zug-gross,Zug,gross,64,HFP,SP,ncblock,transportation,Zug-gruen,zug_gruen.png,Zug-klein,zug_klein.png,Zug-neu,zug_neu.png,Zug-rot,zug_rot.png,Zug-schwarz,zug_schwarz.png,Zug-weiss,zug_weiss.png
Train1,S01,65,Uhr-klein,Uhr,klein,59,LFP,SN,ncblock,tool,Uhr-alt,uhr_alt.png,Uhr-gruen,uhr_gruen.png,Uhr-neu,uhr_neu.png,Uhr-rot,uhr_rot.png,Uhr-schwarz,uhr_schwarz.png,Uhr-weiss,uhr_weiss.png
Train1,S01,66,Rad-alt,Rad,alt,46,LFP,SP,ncblock,etc,Rad-gross,rad_gross.png,Rad-gruen,rad_gruen.png,Rad-klein,rad_klein.png,Rad-rot,rad_rot.png,Rad-schwarz,rad_schwarz.png,Rad-weiss,rad_weiss.png
