picture_file,n_en,n_de,n_fr,adj_en,adj_de,adj_fr,continue_text_de,continue_text_en,continue_text_fr,n_foil_en,n_foil_de,n_foil_fr
"PICTURE_510_LITTLE.jpg","face","Gesicht","visage","little","kleines","petit","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","eye","Auge","oeil"
"PICTURE_405_LITTLE.jpg","anchor","Anker","ancre","little","kleiner","petite","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","basket","Korb","panier"
"PICTURE_38_LITTLE.jpg","spider","Spinne","araignée","little","kleine","petite","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","present","Geschenk","cadeau"
"PICTURE_299_LITTLE.jpg","ostrich","Strauß","autruche","little","kleiner","petite","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","cow","Kuh","vache"
"PICTURE_343_LITTLE.jpg","bottle","Flasche","bouteille","little","kleine","petite","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","ant","Ameise","fourmi"
"PICTURE_569_LITTLE.jpg","tooth","Zahn","dent","little","kleiner","petite","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","island","Insel","île"
"PICTURE_9_LITTLE.jpg","shower","Dusche","douche","little","kleine","petite","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","man","Mann","homme"
"PICTURE_447_LITTLE.jpg","star","Stern","étoile","little","kleiner","petite","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","harp","Harfe","harpe"
"PICTURE_585_LITTLE.jpg","ant","Ameise","fourmi","little","kleine","petite","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","cow","Kuh","vache"
"PICTURE_236_LITTLE.jpg","giraffe","Giraffe","girafe","little","kleine","petite","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","devil","Teufel","diable"
"PICTURE_605_LITTLE.jpg","harp","Harfe","harpe","little","kleine","petite","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","devil","Teufel","diable"
"PICTURE_260_LITTLE.jpg","island","Insel","île","little","kleine","petite","Drücken Sie die Leertaste um fortzufahren","Press the spacebar to continue","Appuyez sur la barre d'espace pour continuer","hippo","Nilpferd","hippopotame"
